"","HHID_unique","hh_size","tikina","province","sector","area","EA","class","date.interview","start.interview","end.interview","second.interview","reason.second","start.second","end.second","final.outcome","religion","language","any.child.dead","number.child.dead","tv","radio","refrigerator","telephone","bicycle","motorbike","car","truck","tractor","computer","internet","land","roofing","flooring","walling","overall.condition","other.households","number.households","toilet","water","distance.water","treat.water","how.treat","cooking.fuel","secondary.cooking","type.secondary","type.stove","where.cook","with.electricity","hrs.electricity","reliable.electricity","season.food","season.water","season.economic","place_in_HH","sex","relationship","age","age.categories","marital","disability3","disability.categories","ethnicity","ind.language","y.n.religion","ind.religion","seeing","hearing","walking","remembering","self.care","communicating","food.resources","resources.often","food.sleep","sleep.often","food.wholeday","wholeday.often","food.year","water.quantity","number.people","sleep.outdoors","nights.outdoors","illness.injury","affect.work","length.affect","time.exposure","health.exposure","rate.exposure","receive.care","not.seek","provider","skill","clean","available","respect","wait","location","hcprobs","given.birth","number.births","currently.preg","month.preg","prenatal.preg","provider.prenatal","prenatal.visits","planned.visits","reason.prenatal","where.prenatal","postnatal","care.postnatal","provider.postnatal","freq.postnatal","reason.postnatal","attend.postnatal","birth.postnatal","where.postnatal","attend.school","years.schooling","highest.schooling","read","read.english","check.read.english","read.fijian","check.read.other","write","write.english","check.write","write.other","check.write.other","arithmetic","check.add","check.multiply","toilet.facilities","second.toilet","type.second","support.amount","protect.amount","present.amount","ask","hit","beaten","force","amount","insult","future","access.contraception","methods","barriers","rubbish","sewage","pollution","stagnant","waste","traffic","noise","other","raise.issues","change","control.amount","typical","a.i.time","j.s.time","j.s.second","work.pay","kind.work","injury.work","effect.injury","harm.work","respect.paid","treated.respect","unpaid.work","kind.unpaid.work","injury.unpaid","effect.injury.unpaid","harm.unpaid","respect.unpaid","treated.unpaid","happy","satisfied","poor","how.poor","time.exposure.mins","a.i.time.mins","j.s.time.mins","j.s.second.mins","housing_roof","housing_floor","housing_wall","eprobs","score1.1.1","score1.1","score1","score1_cat","score2.1.1","score2.2.1","score2.3.1","score2.1","score2.2","score2.3","score2","score2_cat","score3.1.1","score3.1.2","score3.2.1","score3.1","score3.2","score3_cat","score4.1.1","score4.1.2","score4.2.1","score4.2","score4","score4_cat","score5.1.1","score5.1.2","score5.1","score5","score5_cat","score6.1.1","score6.1.2","score6.2.1","score6.1","score6.2","score6","score6_cat","score7.1.1","score7.1","score7","score7_cat","score8.1.1","score8.1","score8","score8_cat","score9.1.1","score9.1.2","score9.1","score9","score9_cat","score12.1.1","score12.1","score12","score12_cat","score13.1.1","score13.1.2","score13.1","score13.2.1","score13.2","score13","score13_cat","score14.1.1","score14.1","score14","score14_cat","score15.1.1","score15.1.2","score15.1.3","score15.1","score15.2.1","score15.2.2","score15.2","score15","score15_cat","score4.1","score3"
"855",488,2,2,13,0,9,130200090,0,220715,19.1,19.2,0,0,0,0,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,1,10,2,6,4,2,NA,7,7,NA,1,4,5,1,3,2,2,1,24,2,1,1,3,1,2,1,67,5,1,0,3,1,1,1,1,2,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"1",2,NA,2,2,4,5,1,2,1,NA,5,2,2,2,2,2,2,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"10",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,5,4,3,1,17,7,NA,1,5,2,NA,3,3,3,1,1,2,NA,3,3,3,1,1,2,NA,300,1020,420,NA,0,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,1,3,NA,2,NA,2,3,1,3,3,2.5,2,3,NA,3,3,3,3,2,3,2.5,3,2.75,2,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,1,1,2,2,3,3,3,3,2,3,NA,2.5,3,NA,3,2.75,2,2,2
"856",488,2,2,13,0,9,130200090,0,220715,19.1,19.2,0,0,0,0,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,1,10,2,6,4,2,NA,7,7,NA,1,4,5,1,3,2,2,1,24,2,1,1,3,2,1,2,77,5,1,1,3,1,1,1,1,4,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"1",2,NA,2,1,2,0,NA,NA,1,NA,5,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,3,3,4,2,24,0,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,2,NA,0,1440,0,NA,0,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,1,3,NA,2,NA,2,1,3,3,3,2.5,2,2,NA,2,2,2,3,2,3,2.5,3,2.75,2,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,2,2
"857",489,2,14,3,0,5,30200050,0,220715,10.1,10.14,0,0,0,0,1,1,2,2,NA,2,1,2,1,2,2,2,2,2,2,2,1,10,2,15,3,2,NA,8,6,NA,2,NA,1,2,NA,1,4,1,4,3,1,1,3,1,1,1,36,3,1,0,4,1,1,1,1,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"1",2,NA,1,1,2,0.3,2,NA,1,NA,5,2,2,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,5,5,5,1,2,2,2,NA,2,2,2,NA,NA,2,2,2,2,2,2,2,2,5,NA,5,3,16,8,NA,1,1,2,NA,4,3,3,1,3,2,NA,4,4,4,1,1,2,NA,30,960,480,NA,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,1,NA,2,NA,2,1,3,2,2,2,2,3,NA,3,3,3,3,2,0,2.5,0,1.25,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,NA,3,3,3,2,2
"858",489,2,14,3,0,5,30200050,0,220715,10.1,10.14,0,0,0,0,1,1,2,2,NA,2,1,2,1,2,2,2,2,2,2,2,1,10,2,15,3,2,NA,8,6,NA,2,NA,1,2,NA,1,4,1,4,3,1,1,3,2,2,2,28,2,1,0,4,1,1,1,1,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,4,"1",2,NA,1,1,3,0.3,1,3,1,NA,5,2,2,2,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"11",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,4,4,4,1,1,2,2,1,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,4,1,14,10,NA,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,4,4,4,1,1,1,3,30,840,600,NA,0,0,0,0,3,3,3,3,3,3,2,3,3,2,2.66666666666667,2,3,1,NA,2,NA,2,2,2,2,2,2,2,3,NA,3,3,3,3,2,0,2.5,0,1.25,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,1,1,2,2,1.5,1,2,2,2,2,0,NA,NA,0,3,NA,3,1.5,1,2,2
"859",490,2,14,3,0,5,30200050,0,220715,11.15,11.25,0,0,0,0,1,1,2,2,NA,2,1,2,1,2,2,2,2,2,2,2,1,10,9,15,3,2,NA,7,6,NA,2,NA,1,2,NA,1,4,1,4,3,2,2,3,1,2,1,48,3,4,0,4,1,1,1,1,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,3,"0",2,NA,1,2,4,0.3,1,2,1,NA,5,2,2,2,2,2,1,1,1,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"10",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,4,5,1,2,2,2,NA,2,2,2,NA,NA,2,2,2,2,2,2,2,2,1,1,5,3,16,8,NA,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,4,4,4,1,1,2,NA,30,960,480,NA,0,0,0,0,3,3,3,3,3,3,1,3,3,1,2.33333333333333,2,3,1,NA,2,NA,2,3,1,2,2,2,2,3,NA,3,3,3,3,2,0,2.5,0,1.25,1,3,3,3,3,3,3,3,3,2,3,2.5,2.5,2,3,3,3,3,0,0,0,3,3,1.5,1,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,2,2
"860",490,2,14,3,0,5,30200050,0,220715,11.15,11.25,0,0,0,0,1,1,2,2,NA,2,1,2,1,2,2,2,2,2,2,2,1,10,9,15,3,2,NA,7,6,NA,2,NA,1,2,NA,1,4,1,4,3,2,2,3,2,1,3,19,1,6,0,4,1,1,1,1,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"0",2,NA,1,2,4,0.3,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,5,5,1,2,2,2,NA,1,2,2,NA,NA,2,2,2,2,2,2,2,2,5,NA,5,3,20,4,NA,1,1,2,NA,4,3,3,1,3,2,NA,4,3,3,1,1,2,NA,30,1200,240,NA,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,1,NA,2,NA,2,3,3,0,0,1.5,1,3,NA,3,3,3,3,2,0,2.5,0,1.25,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,NA,3,3,3,3,2
"861",491,2,14,3,0,5,30200050,0,220715,11.16,11.2,0,0,0,0,1,1,2,2,NA,2,2,2,1,2,2,2,2,2,2,2,1,10,2,15,3,2,NA,7,6,NA,2,NA,1,2,NA,1,2,1,4,3,1,1,3,1,1,1,74,5,1,0,3,2,1,1,1,1,2,2,1,1,1,2,NA,2,NA,2,NA,2,5,"1",2,NA,2,1,2,0.15,2,NA,1,NA,5,1,2,1,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,5,5,1,2,2,2,NA,1,2,NA,NA,NA,2,2,2,2,2,2,2,2,5,NA,5,3,17.3,6.3,0,1,1,1,4,1,3,3,1,3,2,NA,4,4,4,1,1,2,NA,15,1050,390,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,1,NA,2,NA,2,1,3,1,1,1.5,1,2,NA,2,2,2,3,2,0,2.5,0,1.25,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,1,NA,2,3,NA,3,2.5,2,2,2
"862",491,2,14,3,0,5,30200050,0,220715,11.16,11.2,0,0,0,0,1,1,2,2,NA,2,2,2,1,2,2,2,2,2,2,2,1,10,2,15,3,2,NA,7,6,NA,2,NA,1,2,NA,1,2,1,4,3,1,1,3,2,2,2,53,4,1,0,3,2,1,1,1,1,1,2,1,1,1,2,NA,2,NA,2,NA,2,4,"1",2,NA,4,1,1,0.15,1,3,1,NA,5,2,2,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,2,5,5,1,2,2,2,NA,1,2,NA,NA,NA,2,2,2,2,2,2,2,2,5,5,4,2,11,13,NA,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,4,4,4,1,1,2,NA,15,660,780,NA,0,0,0,0,3,3,3,3,3,3,2,3,3,2,2.66666666666667,2,3,1,NA,2,NA,2,3,2,2,2,2.25,2,2,NA,2,2,2,3,2,0,2.5,0,1.25,1,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2.5,2,1,1,1,1,0,NA,NA,0,3,NA,3,1.5,1,2.5,2
"863",492,2,14,3,0,5,30200050,0,220715,18.39,18.59,0,0,0,0,1,1,2,2,NA,2,2,2,1,2,2,2,2,2,2,2,1,10,2,15,4,2,NA,7,7,NA,2,NA,3,1,6,1,4,1,4,3,1,1,3,1,1,1,55,4,1,0,3,1,1,1,1,2,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"1",2,NA,2,2,4,0.15,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"11",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,5,5,1,2,2,2,NA,2,2,2,NA,NA,2,2,2,2,2,2,2,2,5,NA,5,3,13.3,10.3,0,1,1,2,NA,4,3,3,1,3,2,NA,4,4,4,1,1,2,NA,15,810,630,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,3,3,3,0,0,1.5,1,3,NA,3,3,3,3,2,0,2.5,0,1.25,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,2,2,2,2,3,3,NA,3,3,NA,3,3,3,3,3
"864",492,2,14,3,0,5,30200050,0,220715,18.39,18.59,0,0,0,0,1,1,2,2,NA,2,2,2,1,2,2,2,2,2,2,2,1,10,2,15,4,2,NA,7,7,NA,2,NA,3,1,6,1,4,1,4,3,1,1,3,2,2,2,54,4,1,0,3,1,1,1,1,1,1,2,1,1,1,2,NA,2,NA,2,NA,2,5,"1",2,NA,3,2,4,0.3,1,3,2,4,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"11",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,2,2,2,3,3,3,2,11.3,11,1.3,1,5,2,NA,4,4,4,1,1,2,NA,4,4,4,1,1,2,NA,30,690,660,90,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,3,3,2,0,0,1.25,1,3,NA,3,3,3,3,2,0,2.5,0,1.25,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1.5,1,1,1,1,1,2,3,NA,2.5,3,NA,3,2.75,2,2.5,3
"865",493,2,14,3,0,5,30200050,0,220715,18.16,18.21,0,0,0,0,1,1,2,2,NA,2,2,2,1,2,2,2,2,2,2,2,1,10,2,15,4,2,NA,7,7,NA,2,NA,1,2,NA,1,4,1,4,3,1,1,3,1,1,1,39,3,1,0,4,1,1,1,1,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"2",2,NA,2,2,4,0.3,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,5,5,1,2,2,2,NA,2,2,2,NA,NA,2,2,2,2,2,2,2,2,5,NA,5,3,13,11,NA,1,1,2,NA,3,4,4,1,3,2,NA,4,3,3,1,1,2,NA,30,780,660,NA,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,3,3,3,0,0,1.5,1,3,NA,3,3,3,3,2,0,2.5,0,1.25,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,2,2,2,2,3,3,NA,3,3,NA,3,3,3,3,3
"866",493,2,14,3,0,5,30200050,0,220715,18.16,18.21,0,0,0,0,1,1,2,2,NA,2,2,2,1,2,2,2,2,2,2,2,1,10,2,15,4,2,NA,7,7,NA,2,NA,1,2,NA,1,4,1,4,3,1,1,3,2,2,2,33,2,1,0,4,1,1,1,3,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"2",2,NA,4,1,2,0.3,1,2,1,NA,5,2,2,2,2,2,1,1,1,6,2,NA,NA,NA,NA,NA,NA,NA,1,1,2,11,NA,1,3,1,1,"12",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,4,5,1,2,2,2,NA,2,2,1,4,5,2,2,2,2,2,2,2,2,1,1,4,1,12.3,9.3,2,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,4,4,4,1,1,2,NA,30,750,570,120,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,3,3,1,2,2,2,2,3,NA,3,3,3,3,2,0,2.5,0,1.25,1,3,3,3,3,3,3,3,3,2,3,2.5,2.5,2,3,3,3,3,0,0,0,2,2,1,1,2,2,2,2,0,NA,NA,0,3,NA,3,1.5,1,2,3
"867",494,2,2,13,0,7,130200070,0,220715,16.26,16.43,0,0,0,0,1,1,2,2,NA,2,2,2,1,2,2,2,2,2,2,2,2,10,2,6,2,2,NA,5,5,5,2,NA,1,2,NA,1,3,2,NA,NA,3,2,3,1,1,1,33,2,1,0,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,"3",2,NA,4,2,4,2,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,1,2,2,1,2,2,2,NA,1,2,1,7,5,1,1,1,1,2,2,2,1,3,3,5,1,16,8,NA,2,NA,NA,NA,NA,NA,NA,1,3,2,NA,2,3,3,2,2,1,2,120,960,480,NA,0,0,1,5,0,0,0,0,3,2,0,3,2,0,1.66666666666667,1,1,0,NA,0.5,NA,0,3,1,0,0,1,1,2,NA,2,2,2,0,NA,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,2.5,2,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,2,0.5
"868",494,2,2,13,0,7,130200070,0,220715,16.26,16.43,0,0,0,0,1,1,2,2,NA,2,2,2,1,2,2,2,2,2,2,2,2,10,2,6,2,2,NA,5,5,5,2,NA,1,2,NA,1,3,2,NA,NA,3,2,3,2,2,2,29,2,1,0,4,1,1,1,1,1,1,1,1,1,1,1,2,2,NA,2,NA,2,2,"0",2,NA,4,2,4,5,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,0,1,6,2,NA,NA,NA,NA,NA,NA,NA,1,1,4,NA,NA,1,3,1,1,"10",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,3,3,4,1,2,2,2,NA,1,2,1,4,5,1,2,1,2,2,2,1,1,3,2,3,1,13,11,NA,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,3,3,3,2,2,1,3,300,780,660,NA,0,0,1,4,1,1,1,1,3,2,0,3,2,0,1.66666666666667,1,1,0,NA,0.5,NA,0,3,1,0,0,1,1,3,NA,3,3,3,0,NA,0,0,0,0,0,2,2,2,2,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,2,1,1.5,1,1,1.25,1,2,2,2,2,0,NA,NA,0,3,NA,3,1.5,1,2,0.5
"869",495,2,15,3,0,4,30100040,0,220715,13.5,14,0,0,0,0,1,2,2,2,NA,2,1,2,1,2,2,2,2,2,2,2,1,10,2,15,3,2,NA,1,7,NA,1,1,1,2,NA,2,2,1,4,3,1,1,1,1,2,1,51,4,1,1,1,1,1,1,2,2,3,3,3,1,2,1,2,1,2,2,NA,1,3,"1",2,NA,1,1,1,0.3,1,2,2,5,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,3,1,2,1,2,2,2,NA,1,1,NA,NA,NA,1,2,1,1,2,2,2,2,2,2,3,1,15.3,8.3,0.3,1,5,1,3,3,3,3,1,1,1,3,3,3,3,2,2,1,2,30,930,510,30,0,0,0,3,0,0,0,0,3,3,1,3,3,1,2.33333333333333,2,3,1,NA,2,NA,2,0,1,0,0,0.25,0,3,NA,3,3,3,3,2,0,2.5,0,1.25,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,0,NA,1,0,NA,0,0.5,0,0.5,2
"870",495,2,15,3,0,4,30100040,0,220715,13.5,14,0,0,0,0,1,2,2,2,NA,2,1,2,1,2,2,2,2,2,2,2,1,10,2,15,3,2,NA,1,7,NA,1,1,1,2,NA,2,2,1,4,3,1,1,1,2,1,2,49,3,1,0,3,1,1,1,2,2,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"0",2,NA,1,1,2,0.3,1,3,2,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,5,2,3,1,2,2,2,NA,2,1,2,NA,NA,2,2,2,1,2,2,2,2,5,5,4,3,13,11,0,1,1,1,3,3,3,3,1,3,1,4,3,3,3,2,2,1,4,30,780,660,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,NA,2,NA,2,1,2,0,0,0.75,0,2,NA,2,2,2,3,2,0,2.5,0,1.25,1,0,0,0,0,3,3,3,3,0,1,0.5,0.5,0,2,2,2,2,3,3,3,2,2,2.5,2,2,2,2,2,3,0,NA,1.5,1,NA,1,1.25,1,1.5,2
"871",496,2,9,1,0,20,10600200,0,220715,9,9.1,0,0,0,0,1,2,2,2,NA,2,1,2,2,2,2,2,2,2,2,2,1,10,2,7,3,2,NA,7,6,NA,1,1,1,2,NA,1,2,2,NA,NA,2,2,3,1,1,1,35,2,6,1,2,1,1,1,2,1,1,1,4,2,2,1,2,1,2,2,NA,1,5,"0",2,NA,3,2,4,0.45,2,NA,2,3,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,1,3,1,1,1,1,2,1,1,1,2,NA,NA,2,2,2,2,2,2,2,2,1,1,5,2,15.3,8.3,1,1,1,2,NA,4,4,4,1,3,2,NA,4,3,3,3,3,1,2,45,930,510,60,0,0,1,0,0,0,0,0,3,3,3,3,3,3,3,3,1,1,NA,1,NA,1,3,3,0,0,1.5,1,2,NA,2,2,2,0,NA,0,0,0,0,0,3,3,3,3,0,0,0,0,1,0,0.5,0.5,0,3,3,3,3,0,0,0,3,3,1.5,1,3,3,3,3,3,3,NA,3,3,NA,3,3,3,3,1
"872",496,2,9,1,0,20,10600200,0,220715,9,9.1,0,0,0,0,1,2,2,2,NA,2,1,2,2,2,2,2,2,2,2,2,1,10,2,7,3,2,NA,7,6,NA,1,1,1,2,NA,1,2,2,NA,NA,2,2,3,2,2,6,72,5,4,1,2,1,1,1,2,2,1,2,3,2,1,2,NA,2,NA,2,NA,2,5,"0",2,NA,1,1,3,0.45,1,3,1,NA,5,2,2,2,2,1,2,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"3",4,1,2,NA,1,2,1,2,NA,2,NA,1,1,2,7,2,NA,5,4,4,1,2,2,2,NA,2,2,NA,NA,NA,1,2,2,1,2,1,2,2,4,3,4,3,16,8,NA,1,1,1,3,1,3,3,1,1,2,NA,2,3,3,1,1,1,3,45,960,480,NA,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,NA,1,NA,1,2,2,2,2,2,2,1,1,1,1,1,0,NA,0,0,0,0,0,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,3,2,2.5,2,2,2.25,2,3,3,3,3,3,0,NA,1.5,3,NA,3,2.25,2,2,1
"873",497,2,15,3,0,4,30100040,0,220715,16.33,16.4,0,0,0,0,1,2,2,2,NA,2,2,2,1,2,2,2,2,2,2,2,1,10,2,6,3,2,NA,1,7,NA,2,NA,1,2,NA,2,2,2,NA,NA,1,1,2,1,2,1,35,2,1,0,3,1,1,1,2,1,2,1,2,1,1,2,NA,2,NA,2,NA,2,3,"1",1,"4",4,1,3,0.3,1,3,1,NA,5,2,2,2,2,2,1,1,1,4,1,9,1,3,6,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,3,1,3,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,2,1,2,2,2,2,4,4,4,1,15.3,8.3,0,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,3,3,3,2,2,2,NA,30,930,510,0,0,0,1,1,3,3,3,3,3,3,1,3,3,1,2.33333333333333,2,1,1,0,1,0,0,3,2,2,2,2.25,2,3,NA,3,3,3,0,NA,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0.5,0.5,0,2,2,2,2,3,3,3,2,2,2.5,2,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,2.5,0.5
"874",497,2,15,3,0,4,30100040,0,220715,16.33,16.4,0,0,0,0,1,2,2,2,NA,2,2,2,1,2,2,2,2,2,2,2,1,10,2,6,3,2,NA,1,7,NA,2,NA,1,2,NA,2,2,2,NA,NA,1,1,2,2,1,2,39,3,1,0,3,1,1,1,2,2,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"1",2,NA,1,2,4,0.3,2,NA,1,NA,5,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,5,2,3,1,2,2,2,NA,1,2,2,NA,NA,2,2,1,1,2,2,2,2,5,5,4,3,13.3,10.3,0,1,1,1,3,1,3,3,1,3,1,4,1,3,3,2,2,2,NA,30,810,630,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,NA,1,NA,1,3,3,3,3,3,3,2,NA,2,2,2,0,NA,0,0,0,0,0,3,3,3,3,3,3,3,3,0,1,0.5,0.5,0,2,2,2,2,3,3,3,2,2,2.5,2,2,2,2,2,3,0,NA,1.5,1,NA,1,1.25,1,3,1
